Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.44     0.00     8597     0.00     0.00  std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*> std::__uninitialized_fill_move<std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::deque<bool, std::allocator<bool> >, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::allocator<std::deque<bool, std::allocator<bool> > > >(std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::deque<bool, std::allocator<bool> > const&, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::allocator<std::deque<bool, std::allocator<bool> > >&)
  0.00      0.44     0.00     8000     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.44     0.00     7718     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_insert_aux(std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, unsigned long, std::deque<bool, std::allocator<bool> > const&)
  0.00      0.44     0.00     6002     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_impl::_Deque_impl(std::allocator<bool> const&)
  0.00      0.44     0.00     6002     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::~deque()
  0.00      0.44     0.00     6002     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.44     0.00     6001     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.44     0.00     6000     0.00     0.00  std::allocator<bool>::allocator(std::allocator<bool> const&)
  0.00      0.44     0.00     6000     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_M_set_node(bool**)
  0.00      0.44     0.00     3005     0.00     0.00  void std::__sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     3001     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::operator[](long) const
  0.00      0.44     0.00     3001     0.00     0.00  std::allocator<std::deque<bool, std::allocator<bool> > >::~allocator()
  0.00      0.44     0.00     3001     0.00     0.00  std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>::_M_set_node(std::deque<bool, std::allocator<bool> >**)
  0.00      0.44     0.00     3000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_get_map_allocator() const
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::operator*() const
  0.00      0.44     0.00     3000     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.44     0.00     3000     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      0.44     0.00     3000     0.00     0.00  std::allocator<bool*>::~allocator()
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_destroy_nodes(bool**, bool**)
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_deallocate_node(bool*)
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::~_Deque_base()
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_Deque_iterator(std::_Deque_iterator<bool, bool&, bool*> const&)
  0.00      0.44     0.00     3000     0.00     0.01  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.44     0.00     3000     0.00     0.00  void std::_Destroy<std::deque<bool, std::allocator<bool> >*, std::deque<bool, std::allocator<bool> > >(std::deque<bool, std::allocator<bool> >*, std::deque<bool, std::allocator<bool> >*, std::allocator<std::deque<bool, std::allocator<bool> > >&)
  0.00      0.44     0.00     2365     0.00     0.00  __gnu_cxx::new_allocator<std::deque<bool, std::allocator<bool> >*>::allocate(unsigned long, void const*)
  0.00      0.44     0.00     2365     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.00      0.44     0.00     1517     0.00     0.00  std::_Deque_base<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::~_Deque_base()
  0.00      0.44     0.00     1501     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.44     0.00     1500     0.00     0.00  Graph::fillOrder(int, std::deque<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  0.00      0.44     0.00     1500     0.00     0.00  std::_Deque_base<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_get_map_allocator() const
  0.00      0.44     0.00     1500     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.00      0.44     0.00      956     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_destroy_data_aux(std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>)
  0.00      0.44     0.00      539     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_reserve_elements_at_back(unsigned long)
